English,Pinyin,Hanzi
black,hēisè,黑色
red,hóngsè,红色
green,lǜsè,绿色
yellow,huángsè,黄色
toilet,xǐ shǒu jiān,洗手间
class,kè,课
page,yè,页
cell phone,shǒujī,手机
phone number,diànhuà hàomǎ,电话号码
far,yuǎn,远
to wear,dài,戴
buy,mǎi,买
sell,mài,卖
to stroll,guàng,逛
to wait,děng,等
possible / can work,xíng,行
borrow / lend money,jièqián,借钱
train,hǔochē,火车
bus,gōnggòng qìchē,公共汽车
taxi,chūzūchē,出租车
boat,chuán,船
to walk,zǒu,走
airplane,fēijī,飞机
peaceful / quiet,ānjìng,安静
left,zuǒ,左
right,yòu,右
kiss,wěn,吻
two (of something),liǎng,两
can / possible,kěyǐ,可以
thing,dōngxi,东西
book bag / backpack,shūbāo,书包
book,shū,书
how,zěnme,怎么
how about,zěnmeyàng,怎么样
volume,běn,本
some,xiē,些
piece,kuài,块
quite/very,hěn,很
too,tài,太
particle,le,了
question,ma,吗
hello,wèi,喂
restaurant,fàndiàn,饭店
train station,huǒchēzhàn,火车站
beijing,běijīng,北京
front,qiánmiàn,前面
behind,hòumiàn,后面
inside,lǐmiàn,里
morning,shàngwǔ,上午
day,rì,日
minute,fēnzhōng,分钟
time,shíhou,时候
son,érzi,儿子
daughter,nǚér,女儿
shoolmate,tóngxué,同学
doctor,yīshēng,医生
sir,xiānsheng,先生
miss,xiǎojiě,小姐
rice,mǐfàn,米饭
fruit,shuǐguǒ,水果
apple,píngguǒ,苹果
cup,bēizi,杯子
weather,tiānqì,天气
person,rén,人
name,míngzi,名字
mandarin chinese,hànyǔ,汉语
character,zì,字
chair,yǐzi,椅子
speak,shuōhuà,说话
read,dú,读
see,kànjiàn,看见
call,jiào,叫
come,lái,来
return,huí,回
call up,dǎdiànhuà,打电话
sit,zuò,坐
live,zhù,住
study,xuéxí,学习
work,gōngzuò,工作
rain,xiàyǔ,下雨
know,rènshi,认识
can/be able to,néng,能
many/much,duō,多
few/little,shǎo,少
beautiful,piàoliàng,漂亮
they (females/pl.),tāmen,她们
you,nín,您
it,tā,它
everyone,dàjiā,大家
every,měi,每
why,wèishénme,为什么
thousand,qiān,千
first,dìyī,第一
number,cì,次
kilogram,gōngjīn,公斤
yuan,yuán,元
sheet,zhāng,张
no,méi,没
other,bié,别
repay,hái,还
real,zhēn,真
be being,zhèngzài,正在
already,yǐjīng,已经
at once,jiǜ,就
because,yīnwèi,因为
so,suǒyǐ,所以
but,dànshì,但是
from,cóng,从
this,cǐ,此
towards,xiàng,向
leave,lí,离
particle,ne,呢
particle,de,得
particle,zhe,着
particle,guo,过
particle,ba,吧
classroom,jiàoshì,教室
room,fángjiān,房间
road,lù,路
left,zuǒbiān,左边
right,yòubiān,右边
out,wài,外
side,pángbiān,旁边
inside,lǐmiàn,里面
hour,xiǎoshí,小时
last year,qùnián,去年
husband,zhàngfu,丈夫
wife,qīzi,妻子
man,nánrén,男人
woman,nǚrén,女人
mutton,yángròu,羊肉
watermelon,xīguā,西瓜
bike,zìxíngchē,自行车
snow,xué,雪
medicine,yào,药
watch,shǒubiǎo,手表
eye,yǎnjīng,眼睛
body,shēntǐ,身体
newspaper,bàozhǐ,报纸
door,mén,门
topic,tí,题
surname,xìng,姓
matter,shìqing,事情
exam,kǎoshì,考试
ticket,piào,票
color,yánsè,颜色
welcome,huānyíng,欢迎
ask,wèn,问
enter,jìn,进
come,chū,出
run,pǎobù,跑步
arrive,dào,到
wear,chuān,穿
find,zhǎo,找
smile,xiào,笑
answer,huídá,回答
tell,gàosù,告诉
prepare,zhǔnbèi,准备
begin,kāishǐ,开始
introduce,jièshào,介绍
help,bāngzhù,帮助
play,wán,玩
present,sòng,送
let,ràng,让
sing,chànggē,唱歌
dance,tiàowǔ,跳舞
travel,lǚyóu,旅游
fall ill,shēngbìng,生病
exercise,yùndòng,运动
swim,yóuyǒng,游泳
play footbal,tīzúqiú,踢足球
